distance_bin,BIN_INDEX,mean,std,n,lower,upper
0.0,1,34.70940170940171,0.5858647113910149,117,33.57746279104038,35.84048157724628
0.0,2,11.914529914529915,0.3359919893649289,117,11.281991525423729,12.606874999999999
0.0,3,2.2393162393162394,0.11359479751420616,117,2.0086188476274685,2.464942016057092
10.0,1,34.92063492063492,0.6077746187845432,126,33.77334759424603,36.137269354838715
10.0,2,12.380952380952381,0.3367291588743859,126,11.76175478065242,13.040495618491237
10.0,3,2.1666666666666665,0.12560066441479714,126,1.9218281250000002,2.411325524833589
20.0,1,35.22764227642276,0.6282509359594516,123,34.04044715447154,36.46382113821138
20.0,2,12.260162601626016,0.3056323997191943,123,11.690853658536586,12.879065040650406
20.0,3,2.2764227642276422,0.12079233648884573,123,2.032317073170732,2.5042682926829265
30.0,1,33.76521739130435,0.6452064883425433,115,32.4645938215103,35.00021929824561
30.0,2,12.02608695652174,0.33612453762709793,115,11.356444902548725,12.715732758620687
30.0,3,2.130434782608696,0.13397344039348189,115,1.8608390541571318,2.382692601067887
40.0,1,35.44660194174757,0.6075769194741863,103,34.30392156862745,36.66466346153846
40.0,2,11.572815533980583,0.37042778020743533,103,10.815291262135922,12.324209431345354
40.0,3,2.174757281553398,0.13079188691822158,103,1.9320388349514563,2.428641456582633
50.0,1,36.33653846153846,0.6140589651346916,104,35.124255952380956,37.58508884411064
50.0,2,11.576923076923077,0.3617043969640165,104,10.836498786407766,12.26923076923077
50.0,3,2.269230769230769,0.15330310096627328,104,1.9902912621359223,2.576923076923077
60.0,1,35.27956989247312,0.6877305479397952,93,34.0529486586494,36.77173913043478
60.0,2,11.56989247311828,0.3694915020322379,93,10.870967741935484,12.290401472650771
60.0,3,2.053763440860215,0.13667287015430707,93,1.7978180050331731,2.3261794634597597
70.0,1,35.05263157894737,0.7615745885250687,76,33.57861842105263,36.526315789473685
70.0,2,11.092105263157896,0.31681074760449685,76,10.473684210526315,11.724013157894735
70.0,3,2.1973684210526314,0.16581667911084327,76,1.881578947368421,2.526315789473684
80.0,1,35.493506493506494,0.7413134446426567,77,34.05097402597403,36.94805194805195
80.0,2,11.64935064935065,0.39708061128041744,77,10.87012987012987,12.415909090909091
80.0,3,2.220779220779221,0.14467112563352874,77,1.9607142857142859,2.5194805194805197
90.0,1,32.806451612903224,0.7744622138625806,62,31.241532258064517,34.33870967741935
90.0,2,11.435483870967742,0.5037128443818523,62,10.483870967741936,12.3875
90.0,3,1.9516129032258065,0.1768529872869183,62,1.6129032258064515,2.3225806451612905
100.0,1,34.02173913043478,1.0517398283753339,46,31.956521739130434,36.04402173913043
100.0,2,10.717391304347826,0.5164599062894997,46,9.73913043478261,11.739673913043479
100.0,3,2.0,0.1768584577416508,46,1.6521739130434783,2.369565217391304
110.0,1,33.25714285714286,0.9009058953345652,35,31.627857142857145,35.20071428571429
110.0,2,11.028571428571428,0.5724802213246232,35,9.942142857142857,12.172142857142855
110.0,3,2.1714285714285713,0.2057236281781522,35,1.8,2.5714285714285716
120.0,1,34.078947368421055,0.8347656740337073,38,32.473684210526315,35.71052631578947
120.0,2,10.842105263157896,0.5282478361392539,38,9.894736842105264,11.921052631578947
120.0,3,2.1052631578947367,0.20283559184440514,38,1.7105263157894737,2.5
130.0,1,34.8,1.456281451391065,20,32.15,37.801249999999996
130.0,2,11.8,0.7914650067165678,20,10.3,13.30125
130.0,3,1.8,0.3578474742328284,20,1.2,2.6
140.0,1,32.45,1.3180296324863536,20,29.89875,35.0
140.0,2,11.25,0.8769738768519166,20,9.6,13.0
140.0,3,2.35,0.45415867282272626,20,1.55,3.3
150.0,1,36.45454545454545,2.3822323542566863,11,32.45227272727273,41.45681818181818
150.0,2,8.818181818181818,0.7513955447606633,11,7.363636363636363,10.363636363636363
150.0,3,1.6363636363636365,0.32044959688301927,11,1.0,2.272727272727273
160.0,1,32.833333333333336,1.1220071226675212,6,30.666666666666668,35.0
160.0,2,11.166666666666666,1.0699508895351826,6,9.166666666666666,13.170833333333329
160.0,3,1.0,0.3350604239684721,6,0.3333333333333333,1.6666666666666667
180.0,1,34.0,0.48035584907622564,3,33.0,35.0
180.0,2,9.0,1.9573928658487845,3,6.275000000000003,12.0
