DISTANCE,IBD_LEFT,IBD_RIGHT,IBD_MID,NR_PAIRS,COUNT,DISTANCE_INDEX,BIN_INDEX

0.031829,0.004,0.01,0.007,1,46,1,1

0.031829,0.01,0.025,0.0175,1,17,1,2

0.031829,0.025,0.05,0.037500000000000006,1,2,1,3

0.075317,0.004,0.01,0.007,1,39,2,1

0.075317,0.01,0.025,0.0175,1,21,2,2

0.075317,0.025,0.05,0.037500000000000006,1,4,2,3

0.026188,0.004,0.01,0.007,1,40,3,1

0.026188,0.01,0.025,0.0175,1,11,3,2

0.026188,0.025,0.05,0.037500000000000006,1,1,3,3

0.03518,0.004,0.01,0.007,1,42,4,1

0.03518,0.01,0.025,0.0175,1,20,4,2

0.03518,0.025,0.05,0.037500000000000006,1,3,4,3

0.077729,0.004,0.01,0.007,1,38,5,1

0.077729,0.01,0.025,0.0175,1,9,5,2

0.077729,0.025,0.05,0.037500000000000006,1,3,5,3

0.024313,0.004,0.01,0.007,1,42,6,1

0.024313,0.01,0.025,0.0175,1,21,6,2

0.024313,0.025,0.05,0.037500000000000006,1,1,6,3

0.085835,0.004,0.01,0.007,1,36,7,1

0.085835,0.01,0.025,0.0175,1,21,7,2

0.085835,0.025,0.05,0.037500000000000006,1,2,7,3

0.057233,0.004,0.01,0.007,1,39,8,1

0.057233,0.01,0.025,0.0175,1,16,8,2

0.057233,0.025,0.05,0.037500000000000006,1,3,8,3

0.045943,0.004,0.01,0.007,1,39,9,1

0.045943,0.01,0.025,0.0175,1,13,9,2

0.045943,0.025,0.05,0.037500000000000006,1,6,9,3

388.430878,0.004,0.01,0.007,1,31,10,1

388.430878,0.01,0.025,0.0175,1,10,10,2

388.430878,0.025,0.05,0.037500000000000006,1,2,10,3

388.460563,0.004,0.01,0.007,1,27,11,1

388.460563,0.01,0.025,0.0175,1,10,11,2

388.460563,0.025,0.05,0.037500000000000006,1,1,11,3

388.486212,0.004,0.01,0.007,1,28,12,1

388.486212,0.01,0.025,0.0175,1,10,12,2

388.486212,0.025,0.05,0.037500000000000006,1,1,12,3

2502.456269,0.004,0.01,0.007,1,16,13,1

2502.456269,0.01,0.025,0.0175,1,6,13,2

2502.456269,0.025,0.05,0.037500000000000006,1,1,13,3

2502.475652,0.004,0.01,0.007,1,15,14,1

2502.475652,0.01,0.025,0.0175,1,6,14,2

2502.475652,0.025,0.05,0.037500000000000006,1,0,14,3

2502.53105,0.004,0.01,0.007,1,19,15,1

2502.53105,0.01,0.025,0.0175,1,4,15,2

2502.53105,0.025,0.05,0.037500000000000006,1,0,15,3

743.144525,0.004,0.01,0.007,1,21,16,1

743.144525,0.01,0.025,0.0175,1,9,16,2

743.144525,0.025,0.05,0.037500000000000006,1,0,16,3

743.167557,0.004,0.01,0.007,1,17,17,1

743.167557,0.01,0.025,0.0175,1,7,17,2

743.167557,0.025,0.05,0.037500000000000006,1,1,17,3

743.222921,0.004,0.01,0.007,1,18,18,1

743.222921,0.01,0.025,0.0175,1,7,18,2

743.222921,0.025,0.05,0.037500000000000006,1,2,18,3

743.2067,0.004,0.01,0.007,1,22,19,1

743.2067,0.01,0.025,0.0175,1,6,19,2

743.2067,0.025,0.05,0.037500000000000006,1,3,19,3

743.151351,0.004,0.01,0.007,1,29,20,1

743.151351,0.01,0.025,0.0175,1,16,20,2

743.151351,0.025,0.05,0.037500000000000006,1,1,20,3

743.142126,0.004,0.01,0.007,1,31,21,1

743.142126,0.01,0.025,0.0175,1,8,21,2

743.142126,0.025,0.05,0.037500000000000006,1,0,21,3

743.138973,0.004,0.01,0.007,1,25,22,1

743.138973,0.01,0.025,0.0175,1,4,22,2

743.138973,0.025,0.05,0.037500000000000006,1,1,22,3

743.148004,0.004,0.01,0.007,1,25,23,1

743.148004,0.01,0.025,0.0175,1,3,23,2

743.148004,0.025,0.05,0.037500000000000006,1,1,23,3

743.191005,0.004,0.01,0.007,1,31,24,1

743.191005,0.01,0.025,0.0175,1,5,24,2

743.191005,0.025,0.05,0.037500000000000006,1,2,24,3

743.152973,0.004,0.01,0.007,1,28,25,1

743.152973,0.01,0.025,0.0175,1,7,25,2

743.152973,0.025,0.05,0.037500000000000006,1,3,25,3

