DISTANCE,IBD_LEFT,IBD_RIGHT,IBD_MID,NR_PAIRS,COUNT,DISTANCE_INDEX,BIN_INDEX
20.088,0.004,0.01,0.007,1,32,1,1
20.088,0.01,0.025,0.0175,1,6,1,2
20.088,0.025,0.05,0.037500000000000006,1,2,1,3
22.461,0.004,0.01,0.007,1,25,2,1
22.461,0.01,0.025,0.0175,1,9,2,2
22.461,0.025,0.05,0.037500000000000006,1,1,2,3
27.432,0.004,0.01,0.007,1,34,3,1
27.432,0.01,0.025,0.0175,1,11,3,2
27.432,0.025,0.05,0.037500000000000006,1,2,3,3
32.051,0.004,0.01,0.007,1,30,4,1
32.051,0.01,0.025,0.0175,1,15,4,2
32.051,0.025,0.05,0.037500000000000006,1,2,4,3
34.498,0.004,0.01,0.007,1,30,5,1
34.498,0.01,0.025,0.0175,1,7,5,2
34.498,0.025,0.05,0.037500000000000006,1,3,5,3
36.984,0.004,0.01,0.007,1,37,6,1
36.984,0.01,0.025,0.0175,1,9,6,2
36.984,0.025,0.05,0.037500000000000006,1,2,6,3
39.522,0.004,0.01,0.007,1,32,7,1
39.522,0.01,0.025,0.0175,1,12,7,2
39.522,0.025,0.05,0.037500000000000006,1,1,7,3
42.026,0.004,0.01,0.007,1,33,8,1
42.026,0.01,0.025,0.0175,1,10,8,2
42.026,0.025,0.05,0.037500000000000006,1,2,8,3
46.451,0.004,0.01,0.007,1,36,9,1
46.451,0.01,0.025,0.0175,1,10,9,2
46.451,0.025,0.05,0.037500000000000006,1,1,9,3
48.489,0.004,0.01,0.007,1,35,10,1
48.489,0.01,0.025,0.0175,1,11,10,2
48.489,0.025,0.05,0.037500000000000006,1,2,10,3
51.058,0.004,0.01,0.007,1,32,11,1
51.058,0.01,0.025,0.0175,1,8,11,2
51.058,0.025,0.05,0.037500000000000006,1,2,11,3
53.626,0.004,0.01,0.007,1,35,12,1
53.626,0.01,0.025,0.0175,1,8,12,2
53.626,0.025,0.05,0.037500000000000006,1,2,12,3
56.008,0.004,0.01,0.007,1,47,13,1
56.008,0.01,0.025,0.0175,1,11,13,2
56.008,0.025,0.05,0.037500000000000006,1,1,13,3
58.405,0.004,0.01,0.007,1,44,14,1
58.405,0.01,0.025,0.0175,1,12,14,2
58.405,0.025,0.05,0.037500000000000006,1,1,14,3
61.055,0.004,0.01,0.007,1,30,15,1
61.055,0.01,0.025,0.0175,1,11,15,2
61.055,0.025,0.05,0.037500000000000006,1,4,15,3
63.53,0.004,0.01,0.007,1,33,16,1
63.53,0.01,0.025,0.0175,1,9,16,2
63.53,0.025,0.05,0.037500000000000006,1,0,16,3
65.992,0.004,0.01,0.007,1,31,17,1
65.992,0.01,0.025,0.0175,1,9,17,2
65.992,0.025,0.05,0.037500000000000006,1,2,17,3
68.287,0.004,0.01,0.007,1,41,18,1
68.287,0.01,0.025,0.0175,1,5,18,2
68.287,0.025,0.05,0.037500000000000006,1,4,18,3
70.02,0.004,0.01,0.007,1,31,19,1
70.02,0.01,0.025,0.0175,1,10,19,2
70.02,0.025,0.05,0.037500000000000006,1,1,19,3
81.17,0.004,0.01,0.007,1,32,20,1
81.17,0.01,0.025,0.0175,1,7,20,2
81.17,0.025,0.05,0.037500000000000006,1,4,20,3
88.101,0.004,0.01,0.007,1,37,21,1
88.101,0.01,0.025,0.0175,1,11,21,2
88.101,0.025,0.05,0.037500000000000006,1,6,21,3
90.615,0.004,0.01,0.007,1,28,22,1
90.615,0.01,0.025,0.0175,1,13,22,2
90.615,0.025,0.05,0.037500000000000006,1,1,22,3
93.049,0.004,0.01,0.007,1,36,23,1
93.049,0.01,0.025,0.0175,1,8,23,2
93.049,0.025,0.05,0.037500000000000006,1,1,23,3
95.468,0.004,0.01,0.007,1,29,24,1
95.468,0.01,0.025,0.0175,1,14,24,2
95.468,0.025,0.05,0.037500000000000006,1,4,24,3
97.88,0.004,0.01,0.007,1,30,25,1
97.88,0.01,0.025,0.0175,1,7,25,2
97.88,0.025,0.05,0.037500000000000006,1,2,25,3
100.368,0.004,0.01,0.007,1,40,26,1
100.368,0.01,0.025,0.0175,1,6,26,2
100.368,0.025,0.05,0.037500000000000006,1,2,26,3
102.878,0.004,0.01,0.007,1,35,27,1
102.878,0.01,0.025,0.0175,1,4,27,2
102.878,0.025,0.05,0.037500000000000006,1,3,27,3
105.36,0.004,0.01,0.007,1,38,28,1
105.36,0.01,0.025,0.0175,1,10,28,2
105.36,0.025,0.05,0.037500000000000006,1,1,28,3
107.853,0.004,0.01,0.007,1,39,29,1
107.853,0.01,0.025,0.0175,1,9,29,2
107.853,0.025,0.05,0.037500000000000006,1,3,29,3
112.846,0.004,0.01,0.007,1,36,30,1
112.846,0.01,0.025,0.0175,1,10,30,2
112.846,0.025,0.05,0.037500000000000006,1,2,30,3
115.396,0.004,0.01,0.007,1,32,31,1
115.396,0.01,0.025,0.0175,1,8,31,2
115.396,0.025,0.05,0.037500000000000006,1,5,31,3
117.992,0.004,0.01,0.007,1,31,32,1
117.992,0.01,0.025,0.0175,1,5,32,2
117.992,0.025,0.05,0.037500000000000006,1,4,32,3
120.184,0.004,0.01,0.007,1,36,33,1
120.184,0.01,0.025,0.0175,1,14,33,2
120.184,0.025,0.05,0.037500000000000006,1,1,33,3
122.54,0.004,0.01,0.007,1,36,34,1
122.54,0.01,0.025,0.0175,1,7,34,2
122.54,0.025,0.05,0.037500000000000006,1,4,34,3
125.287,0.004,0.01,0.007,1,35,35,1
125.287,0.01,0.025,0.0175,1,12,35,2
125.287,0.025,0.05,0.037500000000000006,1,2,35,3
127.447,0.004,0.01,0.007,1,30,36,1
127.447,0.01,0.025,0.0175,1,16,36,2
127.447,0.025,0.05,0.037500000000000006,1,2,36,3
129.352,0.004,0.01,0.007,1,37,37,1
129.352,0.01,0.025,0.0175,1,9,37,2
129.352,0.025,0.05,0.037500000000000006,1,3,37,3
140.733,0.004,0.01,0.007,1,43,38,1
140.733,0.01,0.025,0.0175,1,7,38,2
140.733,0.025,0.05,0.037500000000000006,1,2,38,3
142.763,0.004,0.01,0.007,1,40,39,1
142.763,0.01,0.025,0.0175,1,8,39,2
142.763,0.025,0.05,0.037500000000000006,1,2,39,3
144.632,0.004,0.01,0.007,1,28,40,1
144.632,0.01,0.025,0.0175,1,14,40,2
144.632,0.025,0.05,0.037500000000000006,1,8,40,3
146.972,0.004,0.01,0.007,1,42,41,1
146.972,0.01,0.025,0.0175,1,11,41,2
146.972,0.025,0.05,0.037500000000000006,1,3,41,3
148.862,0.004,0.01,0.007,1,33,42,1
148.862,0.01,0.025,0.0175,1,12,42,2
148.862,0.025,0.05,0.037500000000000006,1,4,42,3
150.799,0.004,0.01,0.007,1,33,43,1
150.799,0.01,0.025,0.0175,1,10,43,2
150.799,0.025,0.05,0.037500000000000006,1,2,43,3
159.583,0.004,0.01,0.007,1,35,44,1
159.583,0.01,0.025,0.0175,1,13,44,2
159.583,0.025,0.05,0.037500000000000006,1,4,44,3
176.318,0.004,0.01,0.007,1,36,45,1
176.318,0.01,0.025,0.0175,1,7,45,2
176.318,0.025,0.05,0.037500000000000006,1,1,45,3
181.242,0.004,0.01,0.007,1,34,46,1
181.242,0.01,0.025,0.0175,1,4,46,2
181.242,0.025,0.05,0.037500000000000006,1,3,46,3
183.742,0.004,0.01,0.007,1,33,47,1
183.742,0.01,0.025,0.0175,1,12,47,2
183.742,0.025,0.05,0.037500000000000006,1,0,47,3
188.418,0.004,0.01,0.007,1,35,48,1
188.418,0.01,0.025,0.0175,1,11,48,2
188.418,0.025,0.05,0.037500000000000006,1,3,48,3
2.383,0.004,0.01,0.007,1,22,49,1
2.383,0.01,0.025,0.0175,1,11,49,2
2.383,0.025,0.05,0.037500000000000006,1,2,49,3
7.394,0.004,0.01,0.007,1,43,50,1
7.394,0.01,0.025,0.0175,1,7,50,2
7.394,0.025,0.05,0.037500000000000006,1,2,50,3
12.255,0.004,0.01,0.007,1,26,51,1
12.255,0.01,0.025,0.0175,1,8,51,2
12.255,0.025,0.05,0.037500000000000006,1,2,51,3
14.757,0.004,0.01,0.007,1,21,52,1
14.757,0.01,0.025,0.0175,1,10,52,2
14.757,0.025,0.05,0.037500000000000006,1,2,52,3
17.255,0.004,0.01,0.007,1,26,53,1
17.255,0.01,0.025,0.0175,1,10,53,2
17.255,0.025,0.05,0.037500000000000006,1,5,53,3
19.779,0.004,0.01,0.007,1,35,54,1
19.779,0.01,0.025,0.0175,1,15,54,2
19.779,0.025,0.05,0.037500000000000006,1,0,54,3
22.271,0.004,0.01,0.007,1,28,55,1
22.271,0.01,0.025,0.0175,1,8,55,2
22.271,0.025,0.05,0.037500000000000006,1,1,55,3
26.907,0.004,0.01,0.007,1,38,56,1
